"","V1","V2"
"1866","ip steam flow","ip steam flow"
"1867","jacket inlet pressure","jacket inlet pressure"
"1868","model mech alias","model mechanical alias"
"1869","motor bearing temperature","motor bearing temperature"
"1870","ob bearing vibrations","ob bearing vibration"
"1871","rotor vibration brg","rotor vibration bearing"
"1872","sh dsh outlet","sh dsh outlet"
"1873","thrust bearing inactive","thrust bearing inactive"
"1874","burner outlet gas","burner outlet gas"
"1875","ctrl vlv dmd","control valve dmd"
"1876","delta temp cv","delta temperature cv"
"1877","drum ph sample","drum ph sample"
"1878","drum water ph","drum water ph"
"1879","exhaust steam temperature","exhaust steam temperature"
"1880","fuel gas inlet","fuel gas inlet"
"1881","gt bearing metal","gt bearing metal"
"1882","hp steam sodium","hp steam sodium"
"1883","hrsg hp drum","hrsg hp drum"
"1884","ib brg mtl","ib bearing metal"
"1885","ip attemperator spray","ip attemperator spray"
"1886","ip steam sodium","ip steam sodium"
"1887","journal bearing temp","journal bearing temperature"
"1888","lp drum press","lp drum pressure"
"1889","model model performance","model model performance"
"1890","motor current phase","motor current phase"
"1891","motor stator temps","motor stator temperature"
"1892","nde bearing vibrations","nde bearing vibration"
"1893","ob brg mtl","ob bearing metal"
"1894","oil outlet temp","oil outlet temperature"
"1895","outboard bearing temp","outboard bearing temperature"
"1896","outlet temp decreased","outlet temperature decrease"
"1897","recycle valve demand","recycle valve demand"
"1898","temp diff cv","temperature difference cv"
"1899","turbine outlet temp","turbine outlet temperature"
"1900","unit lower load","unit lower load"
"1901","air outlet temp","air outlet temperature"
"1902","bearing temp stepped","bearing temperature step"
"1903","bearing temp tracks","bearing temperature track"
"1904","bearing vibration sensor","bearing vibration sensor"
"1905","control valve pos","control valve position"
"1906","de bearing vibrations","de bearing vibration"
"1907","desup outlet temp","desuperheater outlet temperature"
"1908","driver thrust bearing","driver thrust bearing"
"1909","engine charge air","engine charge air"
"1910","exhaust temp spread","exhaust temperature spread"
"1911","gas inlet temp","gas inlet temperature"
"1912","gb driver thrust","gb driver thrust"
"1913","gt vibration transducer","gt vibration transducer"
"1914","hot gas temperature","hot gas temperature"
"1915","intercooler outlet temperature","intercooler outlet temperature"
"1916","ip drum water","ip drum water"
"1917","model wheelspace performance","model wheelspace performance"
"1918","nde journal bearing","nde journal bearing"
"1919","outlet gas spread","outlet gas spread"
"1920","outlet temp mt","outlet temperature motor"
"1921","phase current spread","phase current spread"
"1922","seal oil pressure","seal oil pressure"
"1923","turb ob brg","turbine ob bearing"
"1924","wheelspace ao temp","wheelspace ao temperature"
"1925","ah air outlet","ah air outlet"
"1926","alias compressor outlet","alias compressor outlet"
"1927","ambient air temp","ambient air temperature"
"1928","bearing temp decreased","bearing temperature decrease"
"1929","cylinder exhaust temp","cylinder exhaust temperature"
"1930","cylinder exhaust temperature","cylinder exhaust temperature"
"1931","drum fw lcv","drum fw lcv"
"1932","drum wtr spec","drum water spec"
"1933","exhaust duct pressure","exhaust duct pressure"
"1934","fan ib bearing","fan ib bearing"
"1935","fluid coupling casing","fluid coupling casing"
"1936","fw pmp mtr","fw pump motor"
"1937","gas temperature spread","gas temperature spread"
"1938","gearbox bearing temp","gearbox bearing temperature"
"1939","generator journal bearing","generator journal bearing"
"1940","generator nde bearing","generator nde bearing"
"1941","heat valve position","heat valve position"
"1942","hp drum boiler","hp drum boiler"
"1943","hp spray flow","hp spray flow"
"1944","inlet filter differential","inlet filter differential"
"1945","ip rh dsh","ip rh dsh"
"1946","motor outboard bearing","motor outboard bearing"
"1947","mtr ob brg","motor ob bearing"
"1948","nde bearing vibration","nde bearing vibration"
"1949","nde inner seal","nde inner seal"
"1950","performance alias exhaust","performance alias exhaust"
"1951","pi read pi","pi read pi"
"1952","read pi data","read pi data"
"1953","rear gear bearing","rear gear bearing"
"1954","rel vib shaft","rel vibration shaft"
"1955","rotor vib brg","rotor vibration bearing"
"1956","seal gas dp","seal gas dp"
"1957","spray valve pos","spray valve position"
"1958","steam cat cond","steam cat cond"
"1959","wtr spec conductivity","water spec conductivity"
"1960","air differential pressure","air differential pressure"
"1961","bfp recirc valve","bfp recirc valve"
"1962","bfp suction water","bfp suction water"
"1963","brg axial pos","bearing axial position"
"1964","brg drain temp","bearing drain temperature"
"1965","brg temp decreased","bearing temperature decrease"
"1966","combustor performance tag","combustor performance tag"
"1967","compressor discharge temperature","compressor discharge temperature"
"1968","condensate pump discharge","condensate pump discharge"
"1969","control valve diff","control valve difference"
"1970","cooling air differential","cooling air differential"
"1971","de brg mtl","de bearing metal"
"1972","desuperheater outlet temp","desuperheater outlet temperature"
"1973","fuel gas temp","fuel gas temperature"
"1974","gas discharge dp","gas discharge dp"
"1975","gearbox oil temperature","gearbox oil temperature"
"1976","gen winding temps","generator wind temperature"
"1977","generator bearing temps","generator bearing temperature"
"1978","hp drum differential","hp drum differential"
"1979","hp fw cv","hp fw cv"
"1980","hrsg stack temp","hrsg stack temperature"
"1981","lo filter dp","lo filter dp"
"1982","lp cooling air","lp cooling air"
"1983","mill mtr ob","mill motor ob"
"1984","model electrical alias","model electrical alias"
"1985","mtr outboard vib","motor outboard vibration"
"1986","nde seal inlet","nde seal inlet"
"1987","oil filter diff","oil filter difference"
"1988","oil filter pressure","oil filter pressure"
"1989","pmp mtr outboard","pump motor outboard"
"1990","pump axial position","pump axial position"
"1991","seal filter dp","seal filter dp"
"1992","seal outlet pressure","seal outlet pressure"
"1993","spray water cv","spray water cv"
"1994","st ctrl valve","st control valve"
"1995","stg suction temp","stage suction temperature"
"1996","valve servo current","valve servo current"
"1997","wheelspace rd stg","wheelspace rd stage"
"1998","agb chip detector","agb chip detector"
"1999","attemp outlet temp","attemperator outlet temperature"
"2000","bearing journal vibration","bearing journal vibration"
"2001","bearing temp avg","bearing temperature average"
"2002","boiler water ph","boiler water ph"
"2003","burner outlet temperature","burner outlet temperature"
"2004","cep mtr temp","cep motor temperature"
"2005","coal air temp","coal air temperature"
"2006","compressor discharge temp","compressor discharge temperature"
"2007","compressor inlet press","compressor inlet pressure"
"2008","cond pump disch","cond pump discharge"
"2009","cooler discharge temperature","cooler discharge temperature"
"2010","ctrl vlv pos","control valve position"
"2011","cw waterbox lp","cw waterbox lp"
"2012","de bearing vib","de bearing vibration"
"2013","drain valve pos","drain valve position"
"2014","drum cat cond","drum cat cond"
"2015","fan ob bearing","fan ob bearing"
"2016","flame intensity detector","flame intensity detector"
"2017","gas mass flow","gas mass flow"
"2018","generator bearing vibrations","generator bearing vibration"
"2019","gtdl vib sensor","gtdl vibration sensor"
"2020","hp attemp outlet","hp attemperator outlet"
"2021","hp drum water","hp drum water"
"2022","hp drum wtr","hp drum water"
"2023","hp ip blowdown","hp ip blowdown"
"2024","hrsg outlet temperature","hrsg outlet temperature"
"2025","hydraulic control oil","hydraulic control oil"
"2026","inactive metal temp","inactive metal temperature"
"2027","inlet gas spread","inlet gas spread"
"2028","inner barrel temp","inner barrel temperature"
"2029","ip desup spray","ip desuperheater spray"
"2030","ip steam outlet","ip steam outlet"
"2031","journal bearing metal","journal bearing metal"
"2032","journal bearing vibrations","journal bearing vibration"
"2033","lo cooler outlet","lo cooler outlet"
"2034","lp economizer outlet","lp economizer outlet"
"2035","lube oil press","lube oil pressure"
"2036","metal temp thrust","metal temperature thrust"
"2037","metal temp turbine","metal temperature turbine"
"2038","motor inboard bearing","motor inboard bearing"
"2039","nde buffer gas","nde buffer gas"
"2040","ob bearing vibration","ob bearing vibration"
"2041","outlet gas temperature","outlet gas temperature"
"2042","performance alias compressor","performance alias compressor"
"2043","pump thrust bearing","pump thrust bearing"
"2044","recycle valve position","recycle valve position"
"2045","seal gas flow","seal gas flow"
"2046","stator phase winding","stator phase wind"
"2047","stator temp phase","stator temperature phase"
"2048","steam flow decreased","steam flow decrease"
"2049","turbine bearing vibration","turbine bearing vibration"
"2050","turbine inner barrel","turbine inner barrel"
"2051","pump ib bearing temperature","pump ib bearing temperaturel"
"2052","nde seal outlet flow","nde seal outlet flow"
"2053","compressor outlet temperature range","compressor outlet temperature range"
"2054","exhaust gas port","exhaust gas port"
"2055","water jacket inlet pressure","water jacket inlet pressure"
"2056","lube oil filter dp","lube oil filter dp"
"2057","generator de bearing temperature","generator de bearing temperature"
"2058","generator bearing temperature nde","tgenerator bearing temperature nde"
"2059","generator bearing metal temperature","generator bearing metal temperature"
"2060","drive generator bearing temperature","drive generator bearing temperature"
"2061","lublind cooler temperature","lublind cooler temperature"
"2062","ip drum differential","ip drum differential"
"2063","thermal mechanical tag","thermal mechanical tag"
"2064","motor ob bearing temperature","motor ob bearing temperature"
"2065","hydrogen gas pressure","hydrogen gas pressure"
"2066","ip hrsg drum sample","ip hrsg drum sample"
"2067","fw pump axial probe","fw pump axial probe"
"2068","thrust bearing axial position","thrust bearing axial position"
"2069","bearing oil drain temperature","bearing oil drain temperature"
"2070","rear generator bearing temperature","rear generator bearing temperature"
"2071","fw pump motor outboard","fw pump motor outboard"
"2072","sh dsh outlet temperature","sh dsh outlet temperature"
"2073","stator coil vibration","stator coil vibration"
"2074","combustion monitor spread","combustion monitor spread"
"2075","rear gear bearing temperature","rear gear bearing temperature"
"2076","de seal outlet flow","de seal outlet flow"
"2077","duct burner fuel gas","duct burner fuel gas"
"2078","generator slipring bearing vibration","generator slipring bearing vibration"
"2079","power turbine position","power turbine position "
"2080","generator bearing temperature de","generator bearing temperature de"
"2081","port","port"
"2082","lublind","lublind"
"2081","thermal","thermal"
"2082","cndc","cndc"
"2081","coil","coil"
"2082","slipring","slipring"
